epoch	time	lr	train loss	train acc	testloss	test acc
0	0:3	0.01	0.935	73.3	0.71	77.9
1	0:3	0.01	0.384	85.6	0.62	80.4
2	0:3	0.01	0.319	88.1	0.596	81.4
3	0:3	0.01	0.274	89.7	0.589	82.5
4	0:3	0.01	0.246	90.9	0.585	82.4
5	0:3	0.01	0.229	91.4	0.585	82.8
6	0:3	0.01	0.206	92.4	0.591	82.7
7	0:3	0.01	0.193	92.9	0.576	83.7
8	0:3	0.01	0.181	93.5	0.575	84.0
9	0:3	0.01	0.167	93.9	0.57	83.9
10	0:3	0.0001	0.147	94.6	0.553	84.3
11	0:3	0.001	0.138	95.0	0.552	84.6
12	0:3	0.001	0.136	95.2	0.562	84.6
13	0:3	0.001	0.134	95.2	0.558	84.6
14	0:3	0.001	0.129	95.4	0.562	84.7
15	0:3	0.001	0.126	95.5	0.563	84.7
16	0:3	0.001	0.124	95.6	0.556	84.7
17	0:3	0.001	0.126	95.6	0.564	84.8
18	0:3	0.001	0.122	95.6	0.568	84.9
19	0:3	0.001	0.122	95.7	0.568	84.6
20	0:3	1e-05	0.119	95.8	0.556	85.1
21	0:3	0.0001	0.12	95.7	0.566	84.7
22	0:3	0.0001	0.122	95.7	0.564	84.8
23	0:3	0.0001	0.12	95.8	0.56	84.8
24	0:3	0.0001	0.118	95.7	0.567	84.9
25	0:3	0.0001	0.119	95.8	0.565	84.8
26	0:3	0.0001	0.119	95.7	0.566	85.1
27	0:3	0.0001	0.117	95.9	0.564	84.9
28	0:3	0.0001	0.115	95.9	0.566	84.9
29	0:3	0.0001	0.119	95.7	0.563	84.8
