epoch	time	lr	train loss	train acc	testloss	test acc
0	0:3	0.01	2.34	38.4	1.53	50.1
1	0:3	0.01	1.05	61.2	0.948	67.0
2	0:3	0.01	0.856	68.8	0.858	70.7
3	0:3	0.01	0.757	72.0	0.805	72.2
4	0:3	0.01	0.695	74.5	0.777	73.8
5	0:3	0.01	0.651	76.2	0.759	74.4
6	0:3	0.01	0.611	77.5	0.736	75.2
7	0:3	0.01	0.574	78.9	0.722	75.7
8	0:3	0.01	0.549	79.6	0.718	76.0
9	0:3	0.01	0.53	80.4	0.702	76.8
10	0:3	0.01	0.504	81.6	0.682	77.1
11	0:3	0.01	0.482	82.2	0.688	77.9
12	0:3	0.01	0.466	82.9	0.66	78.5
13	0:3	0.01	0.447	83.7	0.679	78.1
14	0:3	0.01	0.44	83.9	0.646	79.5
15	0:3	0.01	0.423	84.4	0.652	79.0
16	0:3	0.01	0.402	85.3	0.627	79.7
17	0:3	0.01	0.395	85.5	0.65	79.7
18	0:3	0.01	0.382	86.0	0.637	79.5
19	0:3	0.01	0.371	86.4	0.625	80.7
20	0:3	0.01	0.362	86.6	0.627	79.9
21	0:3	0.01	0.351	87.1	0.643	80.0
22	0:3	0.01	0.341	87.6	0.62	80.8
23	0:3	0.01	0.33	88.0	0.607	80.9
24	0:3	0.01	0.32	88.3	0.593	81.8
25	0:3	0.01	0.312	88.7	0.636	80.6
26	0:3	0.01	0.303	88.8	0.619	81.2
27	0:3	0.01	0.296	89.1	0.616	81.0
28	0:3	0.01	0.291	89.4	0.63	80.8
29	0:3	0.01	0.28	89.8	0.628	81.0
30	0:3	0.01	0.272	90.0	0.606	82.1
31	0:3	0.01	0.269	90.3	0.63	81.5
32	0:3	0.01	0.261	90.6	0.611	82.1
33	0:3	0.01	0.251	90.9	0.63	81.4
34	0:3	0.01	0.248	91.0	0.605	81.9
35	0:3	0.01	0.245	91.0	0.614	82.1
36	0:3	0.01	0.239	91.4	0.596	82.8
37	0:3	0.01	0.233	91.6	0.587	82.6
38	0:3	0.01	0.236	91.5	0.611	82.2
39	0:3	0.01	0.219	92.1	0.611	82.6
40	0:3	0.01	0.218	92.1	0.606	82.7
41	0:3	0.01	0.207	92.6	0.581	83.1
42	0:3	0.01	0.207	92.5	0.6	83.4
43	0:3	0.01	0.206	92.7	0.607	83.2
44	0:3	0.01	0.199	92.8	0.59	83.5
45	0:3	0.01	0.197	92.9	0.619	82.9
46	0:3	0.01	0.193	93.0	0.622	83.1
47	0:3	0.01	0.195	93.0	0.626	82.9
48	0:3	0.01	0.186	93.4	0.589	83.8
49	0:3	0.01	0.182	93.5	0.619	82.6
50	0:3	0.01	0.178	93.6	0.587	83.7
51	0:3	0.01	0.174	93.9	0.627	83.2
52	0:3	0.01	0.17	93.9	0.599	83.2
53	0:3	0.01	0.175	93.8	0.596	83.7
54	0:3	0.01	0.162	94.1	0.588	84.0
55	0:3	0.01	0.165	94.1	0.599	84.0
56	0:3	0.01	0.158	94.5	0.602	83.9
57	0:3	0.01	0.154	94.5	0.611	83.9
58	0:3	0.01	0.156	94.4	0.599	84.5
59	0:3	0.01	0.152	94.6	0.644	82.9
60	0:3	0.01	0.149	94.7	0.602	84.2
61	0:3	0.01	0.147	94.8	0.612	83.9
62	0:3	0.01	0.139	95.1	0.615	83.6
63	0:3	0.01	0.149	94.7	0.625	83.8
64	0:3	0.01	0.134	95.2	0.608	84.2
65	0:3	0.01	0.136	95.1	0.613	84.6
66	0:3	0.01	0.135	95.2	0.619	84.1
67	0:3	0.01	0.129	95.4	0.622	84.1
68	0:3	0.01	0.129	95.5	0.622	84.3
69	0:3	0.01	0.128	95.5	0.602	85.0
70	0:3	0.0001	0.0992	96.7	0.554	86.0
71	0:3	0.001	0.0857	97.2	0.536	86.5
72	0:3	0.001	0.0807	97.3	0.538	86.2
73	0:3	0.001	0.0764	97.5	0.531	86.4
74	0:3	0.001	0.072	97.7	0.534	86.5
75	0:3	0.001	0.0722	97.6	0.537	86.4
76	0:3	0.001	0.0697	97.7	0.548	86.4
77	0:3	0.001	0.068	97.7	0.543	86.5
78	0:3	0.001	0.0668	97.9	0.539	86.4
79	0:3	0.001	0.0659	97.9	0.542	86.2
80	0:3	0.001	0.0652	97.9	0.547	86.3
81	0:3	0.001	0.065	97.9	0.547	86.7
82	0:3	0.001	0.0645	97.9	0.54	86.7
83	0:3	0.001	0.0615	98.0	0.547	86.5
84	0:3	0.001	0.0602	98.0	0.545	86.5
