epoch	time	lr	train loss	train acc	testloss	test acc
0	0:3	0.01	0.58	81.9	0.728	79.4
1	0:3	0.01	0.254	90.4	0.629	82.5
2	0:3	0.01	0.203	92.4	0.617	83.1
3	0:3	0.01	0.175	93.4	0.624	83.3
4	0:3	0.01	0.158	94.2	0.615	83.5
5	0:3	0.01	0.14	94.9	0.616	83.5
6	0:3	0.01	0.13	95.2	0.615	83.8
7	0:3	0.01	0.12	95.6	0.621	84.1
8	0:3	0.01	0.108	96.1	0.61	84.6
9	0:3	0.01	0.102	96.4	0.627	84.1
10	0:3	0.0001	0.0883	96.9	0.6	85.0
11	0:3	0.001	0.0785	97.2	0.602	85.1
12	0:3	0.001	0.0776	97.3	0.599	85.1
13	0:3	0.001	0.0755	97.4	0.599	85.2
14	0:3	0.001	0.072	97.5	0.604	85.2
15	0:3	0.001	0.071	97.6	0.611	85.0
16	0:3	0.001	0.0671	97.7	0.614	85.0
17	0:3	0.001	0.0679	97.7	0.609	85.2
18	0:3	0.001	0.0653	97.8	0.623	84.9
19	0:3	0.001	0.0659	97.8	0.612	85.1
20	0:3	1e-05	0.0651	97.8	0.615	85.0
21	0:3	0.0001	0.0636	97.8	0.614	85.0
22	0:3	0.0001	0.0631	97.9	0.615	85.2
23	0:3	0.0001	0.0635	97.8	0.615	85.2
24	0:3	0.0001	0.0639	97.8	0.619	84.9
25	0:3	0.0001	0.0635	97.9	0.611	85.1
26	0:3	0.0001	0.0648	97.8	0.615	84.9
27	0:3	0.0001	0.0627	97.9	0.617	85.1
28	0:3	0.0001	0.0621	97.9	0.611	85.2
29	0:3	0.0001	0.063	97.9	0.621	85.1
