epoch	time	lr	train loss	train acc	testloss	test acc
0	0:3	0.01	1.33	63.5	0.792	72.9
1	0:3	0.01	0.579	78.6	0.705	76.5
2	0:3	0.01	0.473	82.3	0.657	78.7
3	0:3	0.01	0.418	84.4	0.646	79.6
4	0:3	0.01	0.373	86.1	0.626	80.5
5	0:3	0.01	0.344	87.1	0.617	80.8
6	0:3	0.01	0.322	88.1	0.595	81.5
7	0:3	0.01	0.297	89.0	0.593	81.8
8	0:3	0.01	0.278	89.7	0.584	82.2
9	0:3	0.01	0.268	90.1	0.581	82.2
10	0:3	0.0001	0.235	91.2	0.561	83.1
11	0:3	0.001	0.225	91.8	0.553	83.2
12	0:3	0.001	0.222	91.9	0.563	83.2
13	0:3	0.001	0.218	92.1	0.559	83.2
14	0:3	0.001	0.215	92.2	0.558	83.2
15	0:3	0.001	0.213	92.2	0.563	83.2
16	0:3	0.001	0.21	92.4	0.572	83.2
17	0:3	0.001	0.206	92.4	0.569	83.2
18	0:3	0.001	0.204	92.6	0.57	83.3
19	0:3	0.001	0.203	92.5	0.563	83.5
20	0:3	1e-05	0.2	92.7	0.565	83.4
21	0:3	0.0001	0.196	92.8	0.569	83.3
22	0:3	0.0001	0.2	92.7	0.56	83.5
23	0:3	0.0001	0.198	92.8	0.563	83.3
24	0:3	0.0001	0.197	92.8	0.562	83.2
25	0:3	0.0001	0.197	92.8	0.564	83.6
26	0:3	0.0001	0.198	92.8	0.562	83.5
27	0:3	0.0001	0.199	92.8	0.567	83.3
28	0:3	0.0001	0.199	92.7	0.564	83.5
29	0:3	0.0001	0.196	92.8	0.566	83.4
