epoch	time	lr	train loss	train acc	testloss	test acc
0	0:3	0.01	1.73	53.0	0.946	67.2
1	0:3	0.01	0.784	71.1	0.806	73.0
2	0:3	0.01	0.649	76.0	0.731	75.1
3	0:3	0.01	0.574	78.9	0.712	76.0
4	0:3	0.01	0.52	80.7	0.685	77.4
5	0:3	0.01	0.483	82.1	0.675	78.2
6	0:3	0.01	0.452	83.2	0.661	78.6
7	0:3	0.01	0.432	84.2	0.641	79.3
8	0:3	0.01	0.41	84.7	0.623	80.0
9	0:3	0.01	0.387	85.6	0.619	80.3
10	0:3	0.0001	0.358	86.6	0.605	80.9
11	0:3	0.001	0.347	87.2	0.599	80.9
12	0:3	0.001	0.341	87.4	0.598	81.2
13	0:3	0.001	0.333	87.7	0.602	81.0
14	0:3	0.001	0.335	87.6	0.593	81.3
15	0:3	0.001	0.327	87.9	0.594	81.2
16	0:3	0.001	0.328	87.9	0.604	80.8
17	0:3	0.001	0.322	88.1	0.594	81.2
18	0:3	0.001	0.318	88.3	0.593	81.3
19	0:3	0.001	0.316	88.3	0.596	81.3
20	0:3	1e-05	0.313	88.5	0.597	81.5
21	0:3	0.0001	0.311	88.6	0.602	81.3
22	0:3	0.0001	0.316	88.3	0.602	81.1
23	0:3	0.0001	0.313	88.2	0.596	81.2
24	0:3	0.0001	0.311	88.6	0.594	81.7
25	0:3	0.0001	0.311	88.5	0.602	81.0
26	0:3	0.0001	0.312	88.6	0.6	81.0
27	0:3	0.0001	0.314	88.4	0.598	81.4
28	0:3	0.0001	0.31	88.5	0.605	81.1
29	0:3	0.0001	0.309	88.5	0.593	81.3
