epoch	time	lr	train loss	train acc	testloss	test acc
0	0:3	0.01	0.928	73.5	0.689	77.8
1	0:3	0.01	0.383	85.6	0.631	80.5
2	0:3	0.01	0.318	88.1	0.589	81.8
3	0:3	0.01	0.271	89.9	0.601	82.4
4	0:3	0.01	0.248	90.8	0.592	82.5
5	0:3	0.01	0.226	91.7	0.575	83.1
6	0:3	0.01	0.206	92.4	0.572	83.6
7	0:3	0.01	0.191	92.9	0.565	84.1
8	0:3	0.01	0.18	93.4	0.577	84.4
9	0:3	0.01	0.174	93.6	0.56	84.2
10	0:3	0.01	0.16	94.2	0.579	83.9
11	0:3	0.01	0.151	94.5	0.565	84.8
12	0:3	0.01	0.14	95.0	0.596	84.3
13	0:3	0.01	0.134	95.2	0.59	84.6
14	0:3	0.01	0.127	95.4	0.573	84.8
15	0:3	0.01	0.122	95.6	0.576	85.1
16	0:3	0.01	0.116	95.8	0.594	85.1
17	0:3	0.01	0.108	96.2	0.583	85.2
18	0:3	0.01	0.104	96.3	0.589	85.3
19	0:3	0.01	0.105	96.2	0.606	85.0
20	0:3	0.01	0.101	96.3	0.608	85.0
21	0:3	0.01	0.0954	96.6	0.602	85.1
22	0:3	0.01	0.0916	96.8	0.601	84.8
23	0:3	0.01	0.0922	96.7	0.586	85.4
24	0:3	0.01	0.0902	96.8	0.604	85.0
25	0:3	0.01	0.0865	97.0	0.623	84.8
26	0:3	0.01	0.0796	97.2	0.598	85.5
27	0:3	0.01	0.0784	97.2	0.613	85.5
28	0:3	0.01	0.0768	97.3	0.612	85.6
29	0:3	0.01	0.0755	97.4	0.604	85.7
30	0:3	0.01	0.0711	97.5	0.611	85.8
31	0:3	0.01	0.0697	97.6	0.614	85.8
32	0:3	0.01	0.0705	97.5	0.619	85.7
33	0:3	0.01	0.0682	97.7	0.637	85.6
34	0:3	0.01	0.0662	97.7	0.649	85.2
35	0:3	0.01	0.0667	97.6	0.619	85.6
36	0:3	0.01	0.0629	97.8	0.628	85.8
37	0:3	0.01	0.0638	97.7	0.637	85.3
38	0:3	0.01	0.061	97.9	0.615	85.8
39	0:3	0.01	0.059	98.0	0.611	86.2
40	0:3	0.01	0.058	98.1	0.62	85.7
41	0:3	0.01	0.0542	98.1	0.632	85.9
42	0:3	0.01	0.0548	98.1	0.621	86.2
43	0:3	0.01	0.0512	98.2	0.634	86.0
44	0:3	0.01	0.0544	98.1	0.63	86.2
45	0:3	0.01	0.0529	98.1	0.617	86.7
46	0:3	0.01	0.0503	98.3	0.617	86.6
47	0:3	0.01	0.0503	98.2	0.609	86.5
48	0:3	0.01	0.0499	98.3	0.615	86.6
49	0:3	0.01	0.0515	98.3	0.605	86.4
50	0:3	0.01	0.0452	98.4	0.624	86.7
51	0:3	0.01	0.0492	98.2	0.631	86.6
52	0:3	0.01	0.0457	98.4	0.64	86.2
53	0:3	0.01	0.0447	98.5	0.618	86.5
54	0:3	0.01	0.0415	98.7	0.654	85.9
55	0:3	0.01	0.0431	98.6	0.633	86.3
56	0:3	0.01	0.0425	98.5	0.671	85.7
57	0:3	0.01	0.0425	98.5	0.652	86.2
58	0:3	0.01	0.0435	98.5	0.633	86.3
59	0:3	0.01	0.0434	98.5	0.637	86.5
60	0:3	0.01	0.0425	98.5	0.63	86.7
61	0:3	0.01	0.0414	98.6	0.612	86.7
62	0:3	0.01	0.0409	98.6	0.637	86.5
63	0:3	0.01	0.0392	98.6	0.609	86.9
64	0:3	0.01	0.0403	98.6	0.618	86.9
65	0:3	0.01	0.0403	98.6	0.656	86.1
66	0:3	0.01	0.0378	98.7	0.635	86.5
67	0:3	0.01	0.035	98.8	0.635	86.6
68	0:3	0.01	0.037	98.8	0.628	86.7
69	0:3	0.01	0.0372	98.7	0.655	86.9
70	0:3	0.0001	0.0288	99.1	0.606	87.3
71	0:3	0.001	0.0238	99.2	0.603	87.4
72	0:3	0.001	0.0214	99.3	0.59	87.7
73	0:3	0.001	0.0188	99.4	0.598	87.8
74	0:3	0.001	0.0189	99.4	0.606	87.6
75	0:3	0.001	0.0181	99.4	0.602	87.7
76	0:3	0.001	0.0167	99.5	0.599	87.7
77	0:3	0.001	0.0164	99.5	0.594	87.5
78	0:3	0.001	0.0159	99.5	0.593	87.6
79	0:3	0.001	0.0164	99.5	0.607	87.5
80	0:3	0.001	0.0154	99.6	0.601	87.6
81	0:3	0.001	0.0157	99.6	0.602	87.6
82	0:3	0.001	0.015	99.6	0.606	87.6
83	0:3	0.001	0.0142	99.6	0.603	87.8
84	0:3	0.001	0.0154	99.6	0.601	87.4
85	0:3	0.001	0.013	99.7	0.597	87.6
86	0:3	0.001	0.0145	99.6	0.596	87.8
87	0:3	0.001	0.0129	99.7	0.596	87.8
88	0:3	0.001	0.0143	99.6	0.597	87.7
89	0:3	0.001	0.0126	99.7	0.598	87.6
90	0:3	0.001	0.0124	99.7	0.603	87.5
91	0:3	0.001	0.0136	99.6	0.606	87.7
92	0:3	0.001	0.0129	99.6	0.596	87.9
93	0:3	0.001	0.0129	99.6	0.609	87.7
