epoch	time	lr	train loss	train acc	testloss	test acc
0	0:3	0.01	1.33	63.6	0.795	72.6
1	0:3	0.01	0.574	78.8	0.689	77.0
2	0:3	0.01	0.471	82.4	0.644	78.7
3	0:3	0.01	0.414	84.6	0.636	79.7
4	0:3	0.01	0.368	86.3	0.609	80.4
5	0:3	0.01	0.345	87.3	0.599	81.3
6	0:3	0.01	0.314	88.2	0.61	80.8
7	0:3	0.01	0.295	88.9	0.603	81.6
8	0:3	0.01	0.281	89.6	0.581	82.5
9	0:3	0.01	0.264	90.3	0.583	82.6
10	0:3	0.01	0.244	91.0	0.588	82.5
11	0:3	0.01	0.235	91.4	0.594	82.3
12	0:3	0.01	0.227	91.6	0.592	82.9
13	0:3	0.01	0.214	92.1	0.591	83.3
14	0:3	0.01	0.2	92.6	0.587	83.6
15	0:3	0.01	0.194	93.1	0.567	83.9
16	0:3	0.01	0.191	93.0	0.587	83.3
17	0:3	0.01	0.177	93.5	0.579	84.1
18	0:3	0.01	0.172	93.8	0.573	83.6
19	0:3	0.01	0.164	94.0	0.567	84.1
20	0:3	0.01	0.16	94.1	0.567	84.5
21	0:3	0.01	0.153	94.5	0.59	84.3
22	0:3	0.01	0.148	94.6	0.584	84.0
23	0:3	0.01	0.147	94.7	0.582	84.3
24	0:3	0.01	0.143	94.9	0.613	83.9
25	0:3	0.01	0.139	95.0	0.586	84.7
26	0:3	0.01	0.131	95.3	0.578	84.9
27	0:3	0.01	0.131	95.4	0.591	84.5
28	0:3	0.01	0.126	95.5	0.583	85.0
29	0:3	0.01	0.116	95.7	0.607	84.9
30	0:3	0.01	0.118	95.8	0.606	84.7
31	0:3	0.01	0.118	95.8	0.582	84.9
32	0:3	0.01	0.11	96.1	0.59	85.2
33	0:3	0.01	0.109	96.1	0.603	85.0
34	0:3	0.01	0.112	96.0	0.616	84.4
35	0:3	0.01	0.105	96.3	0.598	85.2
36	0:3	0.01	0.0988	96.5	0.616	85.4
37	0:3	0.01	0.0987	96.4	0.569	85.7
38	0:3	0.01	0.0957	96.6	0.598	85.5
39	0:3	0.01	0.096	96.6	0.608	85.1
40	0:3	0.01	0.0895	96.8	0.61	85.7
41	0:3	0.01	0.0932	96.7	0.577	86.0
42	0:3	0.01	0.0908	96.8	0.612	85.4
43	0:3	0.01	0.0891	96.8	0.584	85.8
44	0:3	0.01	0.0872	97.0	0.575	86.1
45	0:3	0.01	0.0846	97.0	0.617	85.3
46	0:3	0.01	0.0802	97.1	0.601	86.0
47	0:3	0.01	0.0771	97.2	0.629	85.5
48	0:3	0.01	0.0773	97.3	0.587	86.0
49	0:3	0.01	0.0786	97.2	0.61	85.7
50	0:3	0.01	0.0754	97.3	0.6	85.7
51	0:3	0.01	0.0748	97.4	0.613	85.8
52	0:3	0.01	0.0746	97.4	0.614	86.0
53	0:3	0.01	0.075	97.4	0.604	86.0
54	0:3	0.01	0.069	97.6	0.608	85.7
55	0:3	0.01	0.0703	97.6	0.617	85.5
56	0:3	0.01	0.0727	97.4	0.643	85.4
57	0:3	0.01	0.0691	97.6	0.607	86.2
58	0:3	0.01	0.0694	97.5	0.614	86.0
59	0:3	0.01	0.0628	97.8	0.632	85.8
60	0:3	0.01	0.0636	97.8	0.617	86.0
61	0:3	0.01	0.0623	97.9	0.613	86.2
62	0:3	0.01	0.0664	97.7	0.6	86.3
63	0:3	0.01	0.0612	97.8	0.623	86.2
64	0:3	0.01	0.0582	98.0	0.623	86.1
65	0:3	0.01	0.0615	97.8	0.594	86.7
66	0:3	0.01	0.0574	98.0	0.619	86.0
67	0:3	0.01	0.0617	97.8	0.602	85.8
68	0:3	0.01	0.0588	97.9	0.64	85.9
69	0:3	0.01	0.0571	98.0	0.629	86.0
70	0:3	0.0001	0.0415	98.6	0.581	86.9
71	0:3	0.001	0.0363	98.8	0.581	86.7
72	0:3	0.001	0.0327	99.0	0.585	87.0
73	0:3	0.001	0.0337	98.9	0.579	86.9
74	0:3	0.001	0.032	99.0	0.585	87.0
75	0:3	0.001	0.0294	99.0	0.585	86.9
76	0:3	0.001	0.0277	99.2	0.573	87.2
77	0:3	0.001	0.028	99.1	0.574	87.0
78	0:3	0.001	0.0271	99.2	0.574	87.0
79	0:3	0.001	0.0267	99.2	0.58	87.1
80	0:3	0.001	0.0239	99.3	0.57	87.2
81	0:3	0.001	0.0248	99.3	0.569	87.0
82	0:3	0.001	0.0248	99.3	0.578	87.3
83	0:3	0.001	0.0246	99.2	0.575	87.2
84	0:3	0.001	0.024	99.3	0.574	87.3
85	0:3	0.001	0.0238	99.3	0.571	87.4
86	0:3	0.001	0.0216	99.3	0.571	87.5
87	0:3	0.001	0.0233	99.3	0.585	87.5
88	0:3	0.001	0.0226	99.3	0.581	87.4
89	0:3	0.001	0.023	99.3	0.578	87.5
90	0:3	0.001	0.0234	99.3	0.582	87.4
