epoch	time	lr	train loss	train acc	testloss	test acc
0	0:3	0.01	1.79	51.7	0.967	66.8
1	0:3	0.01	0.793	70.8	0.846	72.1
2	0:3	0.01	0.658	75.7	0.74	74.8
3	0:3	0.01	0.582	78.4	0.702	76.6
4	0:3	0.01	0.527	80.5	0.686	77.2
5	0:3	0.01	0.489	81.9	0.657	78.1
6	0:3	0.01	0.458	83.1	0.647	78.5
7	0:3	0.01	0.432	83.9	0.639	79.5
8	0:3	0.01	0.408	84.9	0.647	79.4
9	0:3	0.01	0.387	85.6	0.633	80.0
10	0:3	0.01	0.368	86.5	0.623	80.4
11	0:3	0.01	0.353	87.1	0.616	80.8
12	0:3	0.01	0.343	87.3	0.608	80.6
13	0:3	0.01	0.324	87.9	0.606	80.9
14	0:3	0.01	0.311	88.6	0.607	81.4
15	0:3	0.01	0.294	89.1	0.592	81.9
16	0:3	0.01	0.291	89.3	0.603	81.3
17	0:3	0.01	0.281	89.6	0.574	82.4
18	0:3	0.01	0.267	90.3	0.594	82.1
19	0:3	0.01	0.255	90.7	0.591	82.2
20	0:3	0.01	0.256	90.6	0.592	82.6
21	0:3	0.01	0.243	91.1	0.57	83.0
22	0:3	0.01	0.232	91.4	0.58	82.9
23	0:3	0.01	0.226	91.8	0.586	82.8
24	0:3	0.01	0.221	91.9	0.584	83.2
25	0:3	0.01	0.213	92.3	0.587	83.0
26	0:3	0.01	0.209	92.3	0.58	83.5
27	0:3	0.01	0.205	92.6	0.571	83.6
28	0:3	0.01	0.192	93.0	0.619	82.6
29	0:3	0.01	0.184	93.2	0.6	83.3
30	0:3	0.01	0.186	93.2	0.577	83.5
31	0:3	0.01	0.179	93.4	0.59	83.6
32	0:3	0.01	0.178	93.5	0.63	83.0
33	0:3	0.01	0.173	93.8	0.611	83.6
34	0:3	0.01	0.167	93.8	0.587	84.0
35	0:3	0.01	0.165	94.1	0.613	83.8
36	0:3	0.01	0.161	94.3	0.588	83.6
37	0:3	0.01	0.154	94.5	0.589	84.0
38	0:3	0.01	0.15	94.6	0.597	84.0
39	0:3	0.01	0.15	94.7	0.616	83.6
40	0:3	0.01	0.147	94.7	0.585	84.8
41	0:3	0.01	0.143	94.9	0.603	84.4
42	0:3	0.01	0.137	95.0	0.586	84.5
43	0:3	0.01	0.14	95.0	0.581	84.7
44	0:3	0.01	0.137	95.1	0.592	84.4
45	0:3	0.01	0.129	95.3	0.602	84.2
46	0:3	0.01	0.125	95.5	0.614	84.8
47	0:3	0.01	0.123	95.6	0.602	84.6
48	0:3	0.01	0.125	95.6	0.582	84.9
49	0:3	0.01	0.119	95.8	0.615	84.6
50	0:3	0.01	0.116	95.8	0.598	84.8
51	0:3	0.01	0.114	95.9	0.585	85.4
52	0:3	0.01	0.109	96.1	0.602	84.7
53	0:3	0.01	0.114	96.0	0.589	84.9
54	0:3	0.01	0.114	95.9	0.609	84.6
55	0:3	0.01	0.11	96.0	0.646	84.2
56	0:3	0.01	0.107	96.1	0.656	84.0
57	0:3	0.01	0.11	96.0	0.614	84.8
58	0:3	0.01	0.103	96.3	0.618	85.0
59	0:3	0.01	0.103	96.3	0.59	85.5
60	0:3	0.01	0.1	96.5	0.607	84.7
61	0:3	0.01	0.0976	96.5	0.615	85.1
62	0:3	0.01	0.0953	96.6	0.61	85.1
63	0:3	0.01	0.0959	96.6	0.6	85.2
64	0:3	0.01	0.0909	96.8	0.595	85.4
65	0:3	0.01	0.0938	96.7	0.608	85.3
66	0:3	0.01	0.0913	96.8	0.609	85.4
67	0:3	0.01	0.0906	96.8	0.631	84.9
68	0:3	0.01	0.0958	96.6	0.633	84.8
69	0:3	0.01	0.0906	96.8	0.61	85.5
70	0:3	0.0001	0.0727	97.6	0.56	86.2
71	0:3	0.001	0.059	98.1	0.548	86.7
72	0:3	0.001	0.0545	98.2	0.555	86.5
73	0:3	0.001	0.0523	98.3	0.55	86.7
74	0:3	0.001	0.0505	98.3	0.552	86.7
75	0:3	0.001	0.0468	98.5	0.56	86.8
76	0:3	0.001	0.0473	98.5	0.559	86.7
77	0:3	0.001	0.0446	98.6	0.546	87.0
78	0:3	0.001	0.0436	98.7	0.551	86.8
79	0:3	0.001	0.0421	98.7	0.553	87.1
80	0:3	0.001	0.0405	98.7	0.556	86.9
81	0:3	0.001	0.0421	98.7	0.553	86.8
82	0:3	0.001	0.042	98.7	0.565	86.7
83	0:3	0.001	0.0418	98.7	0.564	86.7
84	0:3	0.001	0.0388	98.8	0.557	86.9
85	0:3	0.001	0.0399	98.8	0.558	86.7
86	0:3	0.001	0.0374	98.9	0.553	86.9
87	0:3	0.001	0.0367	98.8	0.564	86.8
88	0:3	0.001	0.0379	98.8	0.567	87.1
89	0:3	0.001	0.0365	98.9	0.562	87.0
90	0:3	0.001	0.037	98.8	0.56	87.1
91	0:3	0.001	0.0357	98.9	0.556	86.8
92	0:3	0.001	0.036	98.8	0.565	86.7
